Scenario,Pattern,Text Length,Algorithm,Matches,Build Time (ms),Match Time (ms),Total Time (ms),Memory Used (KB),Structure Nodes,Structure Size (KB)
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,min-DFA,1,1.099,1289.336,1290.435,522368.00,16,0.59
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,NFA (with prefilter),1,0.195,38.098,38.294,95776.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,NFA+DFA-cache (with prefilter),1,0.212,38.090,38.302,86864.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,DFA (with prefilter),1,0.581,37.726,38.307,304648.00,33,0.78
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),1048576,min-DFA (with prefilter),1,1.291,22.565,23.857,541096.00,30,0.68
Prefilter - Code Keywords,(function|class|const|return|import),1048576,Aho-Corasick,196,0.030,44.778,44.808,19752.00,30,0.11
Prefilter - Code Keywords,(function|class|const|return|import),1048576,NFA,196,0.143,1273.150,1273.293,115864.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),1048576,NFA+DFA-cache,196,0.161,1337.755,1337.917,115864.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),1048576,DFA,196,0.327,53.557,53.883,210376.00,30,0.53
Prefilter - Code Keywords,(function|class|const|return|import),1048576,min-DFA,196,1.326,51.744,53.070,503616.00,24,0.44
Prefilter - Code Keywords,(function|class|const|return|import),1048576,NFA (with prefilter),196,0.231,53.840,54.071,145936.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),1048576,NFA+DFA-cache (with prefilter),196,0.212,57.586,57.798,145936.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),1048576,DFA (with prefilter),196,0.438,40.896,41.335,240448.00,60,0.64
Prefilter - Code Keywords,(function|class|const|return|import),1048576,min-DFA (with prefilter),196,1.353,28.392,29.745,533720.00,54,0.55
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,NFA,72,0.249,826.005,826.254,147128.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,NFA+DFA-cache,72,0.223,894.844,895.067,147040.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,DFA,72,0.462,56.033,56.495,263528.00,31,0.57
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,min-DFA,72,1.499,51.257,52.756,593472.00,23,0.45
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,NFA (with prefilter),72,0.324,817.202,817.526,186888.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,NFA+DFA-cache (with prefilter),72,0.309,904.285,904.594,186888.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,DFA (with prefilter),72,0.591,64.617,65.208,303456.00,62,0.70
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),1048576,min-DFA (with prefilter),72,1.595,58.440,60.036,633360.00,54,0.58
Edge Case - No Matches,xyz,1048576,KMP,0,0.000,5.345,5.345,976.00,,
Edge Case - No Matches,xyz,1048576,Boyer-Moore,0,0.001,9.607,9.608,5328.00,,
Edge Case - No Matches,xyz,1048576,NFA,0,0.036,296.696,296.732,8200.00,6,0.14
Edge Case - No Matches,xyz,1048576,NFA+DFA-cache,0,0.089,170.200,170.289,8200.00,6,0.14
Edge Case - No Matches,xyz,1048576,DFA,0,0.089,44.487,44.577,17688.00,4,0.10
Edge Case - No Matches,xyz,1048576,min-DFA,0,0.137,44.034,44.171,33696.00,4,0.10
Edge Case - Many Matches,a,1048576,KMP,57453,0.000,9.041,9.041,5984104.00,,
Edge Case - Many Matches,a,1048576,Boyer-Moore,57453,0.000,28.762,28.762,5283032.00,,
Edge Case - Many Matches,a,1048576,NFA,57453,0.023,323.318,323.341,3520.00,2,0.07
Edge Case - Many Matches,a,1048576,NFA+DFA-cache,57453,0.022,191.194,191.216,3520.00,2,0.07
Edge Case - Many Matches,a,1048576,DFA,57453,0.060,51.139,51.200,7264.00,2,0.07
Edge Case - Many Matches,a,1048576,min-DFA,57453,0.102,50.246,50.347,13352.00,2,0.07
Edge Case - Universal Wildcard,.*,1048576,NFA,17555,0.037,479.672,479.710,5232.00,4,0.12
Edge Case - Universal Wildcard,.*,1048576,NFA+DFA-cache,17555,0.033,368.939,368.972,5232.00,4,0.12
Edge Case - Universal Wildcard,.*,1048576,DFA,17555,0.085,43.720,43.805,14312.00,2,0.09
Edge Case - Universal Wildcard,.*,1048576,min-DFA,17555,0.102,43.939,44.041,19272.00,1,0.07
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,NFA,0,0.128,892.899,893.027,105632.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,NFA+DFA-cache,0,0.169,987.423,987.592,105632.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,min-DFA,0,472.855,1675.504,2148.359,14191216.00,4096,132.63
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,NFA (with prefilter),0,0.234,879.340,879.574,130024.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,NFA+DFA-cache (with prefilter),0,0.216,974.335,974.551,130024.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,DFA (with prefilter),0,94.126,1630.774,1724.901,15646576.00,4102,133.12
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),1048576,min-DFA (with prefilter),0,470.378,1634.977,2105.354,14415256.00,4101,132.71
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,NFA,737,0.153,936.875,937.028,58944.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,NFA+DFA-cache,737,0.094,1044.918,1045.012,58944.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,DFA,737,0.245,50.587,50.832,121008.00,19,0.34
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,min-DFA,737,0.713,47.608,48.320,278504.00,16,0.30
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,NFA (with prefilter),737,0.193,81.357,81.550,79736.00,61,1.02
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,NFA+DFA-cache (with prefilter),737,0.189,89.565,89.754,79736.00,61,1.02
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,DFA (with prefilter),737,0.367,41.123,41.490,141800.00,38,0.44
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),1048576,min-DFA (with prefilter),737,0.759,40.867,41.626,299296.00,35,0.39
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,Aho-Corasick,19,0.040,49.632,49.672,15672.00,23,0.09
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,NFA,19,0.130,769.859,769.990,73464.00,48,1.05
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,NFA+DFA-cache,19,0.114,829.193,829.307,73464.00,48,1.05
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,DFA,19,0.256,52.269,52.525,144656.00,23,0.41
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,min-DFA,19,0.895,50.467,51.362,354736.00,21,0.38
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,NFA (with prefilter),19,0.211,30.693,30.904,95552.00,71,1.14
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,NFA+DFA-cache (with prefilter),19,0.172,44.209,44.380,94264.00,71,1.14
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,DFA (with prefilter),19,0.395,42.863,43.258,166840.00,46,0.50
Performance - Sparse Matches,(rare|uncommon|infrequent),1048576,min-DFA (with prefilter),19,1.067,43.075,44.142,376920.00,44,0.47
Performance - Dense Matches,(a|e|i|o|u),1048576,Aho-Corasick,290375,0.032,68.254,68.286,5144.00,6,0.08
Performance - Dense Matches,(a|e|i|o|u),1048576,NFA,290375,0.070,1418.656,1418.726,19520.00,18,0.42
Performance - Dense Matches,(a|e|i|o|u),1048576,NFA+DFA-cache,290375,0.069,1490.476,1490.544,19520.00,18,0.42
Performance - Dense Matches,(a|e|i|o|u),1048576,DFA,290375,0.173,77.630,77.803,45936.00,6,0.14
Performance - Dense Matches,(a|e|i|o|u),1048576,min-DFA,290375,0.256,73.858,74.114,58824.00,2,0.10
Performance - Alternation vs Star,(abc|abd|abe)*,1048576,NFA,1030974,0.084,1087.594,1087.678,31832.00,24,0.54
Performance - Alternation vs Star,(abc|abd|abe)*,1048576,NFA+DFA-cache,1030974,0.103,1239.217,1239.320,31832.00,24,0.54
Performance - Alternation vs Star,(abc|abd|abe)*,1048576,DFA,1030974,0.197,103.864,104.061,66592.00,6,0.15
Performance - Alternation vs Star,(abc|abd|abe)*,1048576,min-DFA,1030974,0.280,102.329,102.610,88880.00,3,0.10
Short Literal - Small Text,abc,256000,KMP,0,0.000,1.560,1.560,1448.00,,
Short Literal - Small Text,abc,256000,Boyer-Moore,0,0.000,2.355,2.355,5104.00,,
Short Literal - Small Text,abc,256000,NFA,0,0.040,103.833,103.873,8104.00,6,0.14
Short Literal - Small Text,abc,256000,NFA+DFA-cache,0,0.042,84.453,84.496,8104.00,6,0.14
Short Literal - Small Text,abc,256000,DFA,0,0.101,11.549,11.650,17592.00,4,0.10
Short Literal - Small Text,abc,256000,min-DFA,0,0.191,11.567,11.758,33600.00,4,0.10
Short Literal - Large Text,the,256000,KMP,4605,0.000,1.930,1.930,489112.00,,
Short Literal - Large Text,the,256000,Boyer-Moore,4605,0.000,3.092,3.092,493344.00,,
Short Literal - Large Text,the,256000,NFA,4605,0.048,114.623,114.671,8104.00,6,0.14
Short Literal - Large Text,the,256000,NFA+DFA-cache,4605,0.036,85.925,85.961,8104.00,6,0.14
Short Literal - Large Text,the,256000,DFA,4605,0.117,12.175,12.292,17592.00,4,0.10
Short Literal - Large Text,the,256000,min-DFA,4605,0.188,11.693,11.881,33600.00,4,0.10
Long Literal - Small Text,abcdefghijklmnop,256000,KMP,0,0.000,1.561,1.561,984.00,,
Long Literal - Small Text,abcdefghijklmnop,256000,Boyer-Moore,0,0.000,0.756,0.756,7744.00,,
Long Literal - Small Text,abcdefghijklmnop,256000,NFA,0,0.071,105.820,105.891,47336.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,256000,NFA+DFA-cache,0,0.103,85.749,85.852,47336.00,32,0.69
Long Literal - Small Text,abcdefghijklmnop,256000,DFA,0,0.185,11.434,11.619,95456.00,17,0.30
Long Literal - Small Text,abcdefghijklmnop,256000,min-DFA,0,0.607,11.737,12.344,238792.00,17,0.30
Long Literal - Large Text,constitution,256000,KMP,0,0.000,1.614,1.614,952.00,,
Long Literal - Large Text,constitution,256000,Boyer-Moore,0,0.000,0.904,0.904,6112.00,,
Long Literal - Large Text,constitution,256000,NFA,0,0.057,100.146,100.203,32304.00,24,0.52
Long Literal - Large Text,constitution,256000,NFA+DFA-cache,0,0.063,82.250,82.313,32304.00,24,0.52
Long Literal - Large Text,constitution,256000,DFA,0,0.258,11.203,11.461,67952.00,13,0.23
Long Literal - Large Text,constitution,256000,min-DFA,0,0.488,11.119,11.607,181648.00,13,0.23
Simple Regex - Dot,a.c,256000,NFA,384,0.051,110.884,110.935,8096.00,6,0.15
Simple Regex - Dot,a.c,256000,NFA+DFA-cache,384,0.036,94.314,94.350,8096.00,6,0.15
Simple Regex - Dot,a.c,256000,DFA,384,0.094,12.499,12.593,17424.00,4,0.11
Simple Regex - Dot,a.c,256000,min-DFA,384,0.132,12.157,12.289,33368.00,4,0.11
Simple Regex - Star,ab*c,256000,NFA,602,0.041,111.620,111.661,9872.00,8,0.19
Simple Regex - Star,ab*c,256000,NFA+DFA-cache,602,0.040,87.742,87.782,9872.00,8,0.19
Simple Regex - Star,ab*c,256000,DFA,602,0.105,12.333,12.439,24872.00,4,0.11
Simple Regex - Star,ab*c,256000,min-DFA,602,0.239,11.589,11.828,39464.00,3,0.09
Complex Regex - Alternation,(cat|dog|bird),256000,Aho-Corasick,59,0.033,31.109,31.142,8032.00,11,0.08
Complex Regex - Alternation,(cat|dog|bird),256000,NFA,59,0.070,217.994,218.064,30816.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),256000,NFA+DFA-cache,59,0.096,276.748,276.843,30816.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),256000,DFA,59,0.179,12.569,12.749,65992.00,11,0.21
Complex Regex - Alternation,(cat|dog|bird),256000,min-DFA,59,0.382,11.834,12.216,127432.00,9,0.18
Complex Regex - Alternation,(cat|dog|bird),256000,NFA (with prefilter),59,0.180,22.096,22.277,44848.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),256000,NFA+DFA-cache (with prefilter),59,0.100,11.986,12.086,44456.00,35,0.61
Complex Regex - Alternation,(cat|dog|bird),256000,DFA (with prefilter),59,0.212,5.716,5.927,89920.00,22,0.29
Complex Regex - Alternation,(cat|dog|bird),256000,min-DFA (with prefilter),59,0.474,19.615,20.088,150440.00,20,0.26
Complex Regex - Multiple Operators,(a|b).*c,256000,NFA,2399,0.073,371.505,371.578,22832.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,256000,NFA+DFA-cache,2399,0.064,256.910,256.974,13856.00,12,0.28
Complex Regex - Multiple Operators,(a|b).*c,256000,DFA,2399,0.158,21.496,21.654,46944.00,5,0.17
Complex Regex - Multiple Operators,(a|b).*c,256000,min-DFA,2399,0.252,21.239,21.491,64848.00,3,0.12
Complex Regex,(a|b)*c(d|e)*,256000,NFA,5286,0.056,252.668,252.724,20560.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,256000,NFA+DFA-cache,5286,0.057,303.245,303.302,20560.00,18,0.43
Complex Regex,(a|b)*c(d|e)*,256000,DFA,5286,0.178,12.872,13.051,75336.00,6,0.19
Complex Regex,(a|b)*c(d|e)*,256000,min-DFA,5286,0.209,12.862,13.071,88224.00,2,0.10
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),256000,NFA,24,0.399,586.769,587.168,373728.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),256000,NFA+DFA-cache,24,0.446,638.043,638.489,373728.00,184,4.52
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),256000,DFA,24,1.014,14.768,15.782,774520.00,52,1.28
Very complex Regex,((t|T)(h|H)(e|E)( )*(m|M)(a|A)(n|N))|((s|S)(h|H)(e|E)( )*(s|S)(a|A)(i|I)(d|D))|((w|W)(a|A)(s|S)( )*(a|A)(l|L)(o|O)(n|N)(e|E))|((t|T)(h|H)(e|E)( )*(e|E)(n|N)(d|D)),256000,min-DFA,24,4.434,13.308,17.742,1792032.00,21,0.55
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,NFA,335,0.289,117.559,117.848,161296.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,NFA+DFA-cache,335,0.216,98.941,99.156,152296.00,80,1.77
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,DFA,335,0.459,13.103,13.562,261032.00,32,0.57
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,min-DFA,335,1.733,11.986,13.719,675000.00,25,0.47
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,NFA (with prefilter),335,0.276,31.735,32.011,190392.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,NFA+DFA-cache (with prefilter),335,0.269,23.198,23.467,185592.00,112,1.91
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,DFA (with prefilter),335,0.420,19.415,19.835,300976.00,64,0.71
Prefilter - Thematic Words After 'the',the (soul|body|mind|dead|life|world|death),256000,min-DFA (with prefilter),335,1.808,5.587,7.394,721568.00,57,0.61
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,NFA,692,0.080,1517.002,1517.082,47992.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,NFA+DFA-cache,692,0.100,368.176,368.276,47992.00,34,0.76
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,DFA,692,0.471,54.316,54.787,326688.00,15,0.66
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,min-DFA,692,0.863,55.452,56.315,444096.00,14,0.62
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,NFA (with prefilter),692,0.155,1527.571,1527.726,63992.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,NFA+DFA-cache (with prefilter),692,0.145,388.918,389.062,63992.00,48,0.85
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,DFA (with prefilter),692,0.574,59.009,59.583,342688.00,29,0.75
Prefilter - Common Suffixes, (.*)(tion|ment|ness),256000,min-DFA (with prefilter),692,0.918,58.509,59.427,460056.00,28,0.70
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,NFA,25,0.322,454.147,454.469,249032.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,NFA+DFA-cache,25,0.341,521.205,521.546,249032.00,122,2.80
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,DFA,25,0.669,12.928,13.597,439984.00,45,0.83
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,min-DFA,25,4.154,11.827,15.981,1306072.00,28,0.56
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,NFA (with prefilter),25,0.402,139.847,140.249,307008.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,NFA+DFA-cache (with prefilter),25,0.424,159.406,159.830,307008.00,167,2.96
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,DFA (with prefilter),25,0.774,23.055,23.829,497216.00,90,0.99
Prefilter - Subject-Verb Patterns,(I|You|He|She|It|We|They) (was|were|had|been|said|made|came|went),256000,min-DFA (with prefilter),25,4.170,9.009,13.179,1384120.00,73,0.72
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,NFA,2161,0.179,524.387,524.566,162280.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,NFA+DFA-cache,2161,0.194,539.128,539.322,162280.00,92,2.06
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,DFA,2161,1.285,15.499,16.784,853888.00,34,1.38
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,min-DFA,2161,2.231,14.477,16.708,1174192.00,27,1.05
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,NFA (with prefilter),2161,0.294,481.925,482.219,198912.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,NFA+DFA-cache (with prefilter),2161,0.294,485.824,486.119,190000.00,109,2.16
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,DFA (with prefilter),2161,1.227,24.941,26.168,881520.00,51,1.47
Prefilter - Common Words Repeated,(the|and|that|with|from)(.*)(the|and|that|with|from),256000,min-DFA (with prefilter),2161,2.302,16.627,18.928,1219336.00,44,1.14
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,NFA,1,0.111,5626.279,5626.390,68000.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,NFA+DFA-cache,1,0.113,622.224,622.337,68000.00,46,1.04
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,DFA,1,0.479,319.636,320.115,285792.00,19,0.69
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,min-DFA,1,1.187,307.065,308.252,522280.00,16,0.59
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,NFA (with prefilter),1,0.187,18.247,18.434,86768.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,NFA+DFA-cache (with prefilter),1,0.148,4.914,5.062,82568.00,60,1.13
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,DFA (with prefilter),1,0.494,4.469,4.963,304168.00,33,0.78
Prefilter - URL-like Patterns,(www\.)*(.*)\.(com|org|net|edu),256000,min-DFA (with prefilter),1,1.296,12.671,13.966,541008.00,30,0.68
Prefilter - Code Keywords,(function|class|const|return|import),256000,Aho-Corasick,73,0.033,28.666,28.699,19656.00,30,0.11
Prefilter - Code Keywords,(function|class|const|return|import),256000,NFA,73,0.213,362.559,362.771,123784.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),256000,NFA+DFA-cache,73,0.153,383.623,383.776,115768.00,68,1.49
Prefilter - Code Keywords,(function|class|const|return|import),256000,DFA,73,0.361,13.743,14.103,210280.00,30,0.53
Prefilter - Code Keywords,(function|class|const|return|import),256000,min-DFA,73,1.374,12.892,14.266,503536.00,24,0.44
Prefilter - Code Keywords,(function|class|const|return|import),256000,NFA (with prefilter),73,0.278,37.588,37.866,145840.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),256000,NFA+DFA-cache (with prefilter),73,0.246,33.209,33.454,141912.00,98,1.60
Prefilter - Code Keywords,(function|class|const|return|import),256000,DFA (with prefilter),73,0.339,8.959,9.298,246208.00,60,0.64
Prefilter - Code Keywords,(function|class|const|return|import),256000,min-DFA (with prefilter),73,1.361,5.007,6.368,533096.00,54,0.55
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,NFA,11,0.223,242.316,242.539,146944.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,NFA+DFA-cache,11,0.223,273.202,273.425,146944.00,82,1.83
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,DFA,11,0.494,14.244,14.738,263520.00,31,0.57
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,min-DFA,11,1.567,12.787,14.354,593272.00,23,0.45
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,NFA (with prefilter),11,0.295,245.640,245.934,186792.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,NFA+DFA-cache (with prefilter),11,0.299,271.393,271.691,186792.00,113,1.96
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,DFA (with prefilter),11,0.502,19.356,19.858,303304.00,62,0.70
Prefilter - Article-Noun Patterns,(the|a|an) (cat|dog|bird|fish|tree|house|car),256000,min-DFA (with prefilter),11,1.669,14.347,16.017,650880.00,54,0.58
Edge Case - No Matches,xyz,256000,KMP,0,0.000,1.708,1.708,9856.00,,
Edge Case - No Matches,xyz,256000,Boyer-Moore,0,0.000,2.414,2.414,4976.00,,
Edge Case - No Matches,xyz,256000,NFA,0,0.038,101.719,101.757,8104.00,6,0.14
Edge Case - No Matches,xyz,256000,NFA+DFA-cache,0,0.046,82.621,82.667,8104.00,6,0.14
Edge Case - No Matches,xyz,256000,DFA,0,0.095,11.139,11.234,17592.00,4,0.10
Edge Case - No Matches,xyz,256000,min-DFA,0,0.141,12.929,13.069,33600.00,4,0.10
Edge Case - Many Matches,a,256000,KMP,13523,0.000,2.082,2.082,1352064.00,,
Edge Case - Many Matches,a,256000,Boyer-Moore,13523,0.000,7.392,7.392,1355064.00,,
Edge Case - Many Matches,a,256000,NFA,13523,0.026,162.245,162.271,3424.00,2,0.07
Edge Case - Many Matches,a,256000,NFA+DFA-cache,13523,0.023,83.138,83.161,3424.00,2,0.07
Edge Case - Many Matches,a,256000,DFA,13523,0.053,11.948,12.001,7168.00,2,0.07
Edge Case - Many Matches,a,256000,min-DFA,13523,0.090,13.416,13.506,13256.00,2,0.07
Edge Case - Universal Wildcard,.*,256000,NFA,4323,0.033,150.744,150.777,5136.00,4,0.12
Edge Case - Universal Wildcard,.*,256000,NFA+DFA-cache,4323,0.031,124.669,124.700,5136.00,4,0.12
Edge Case - Universal Wildcard,.*,256000,DFA,4323,0.113,10.421,10.534,14216.00,2,0.09
Edge Case - Universal Wildcard,.*,256000,min-DFA,4323,0.129,10.571,10.700,19176.00,1,0.07
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),256000,NFA,0,0.173,259.144,259.317,105536.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),256000,NFA+DFA-cache,0,0.127,290.689,290.816,105536.00,76,1.75
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),256000,NFA (with prefilter),0,0.234,251.564,251.798,131832.00,81,1.83
Edge Case - DFA Exponential Blowup,(a|b)*a(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b)(a|b),256000,NFA+DFA-cache (with prefilter),0,0.245,282.126,282.371,129928.00,81,1.83
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),256000,NFA,141,0.103,267.039,267.142,58848.00,42,0.93
Edge Case - Nested Alternations,((red|blue)|(green|yellow)),256000,NFA+DFA-cache,141,0.097,314.666,314.763,58848.00,42,0.93
