Scenario,Pattern,Text Length,Algorithm,Matches,Build Time (ms),Match Time (ms),Total Time (ms),Memory Used (KB),Structure Nodes,Structure Size (KB)
Long Literal - Small Text,abcdefghijklmnop,1024,min-DFA,0,0.610,0.085,0.695,239192.00,17,0.30
Long Literal - Large Text,constitution,1024,KMP,0,0.000,0.011,0.012,1336.00,,
Long Literal - Large Text,constitution,1024,Boyer-Moore,0,0.001,0.032,0.033,4736.00,,
Long Literal - Large Text,constitution,1024,NFA,0,0.059,0.462,0.520,32544.00,24,0.52
Long Literal - Large Text,constitution,1024,NFA+DFA-cache,0,0.066,0.765,0.831,32544.00,24,0.52
Long Literal - Large Text,constitution,1024,DFA,0,0.147,0.091,0.238,68192.00,13,0.23
Long Literal - Large Text,constitution,1024,min-DFA,0,0.468,0.087,0.555,181888.00,13,0.23
Simple Regex - Dot,a.c,1024,NFA,0,0.036,0.530,0.566,8360.00,6,0.15
Simple Regex - Dot,a.c,1024,NFA+DFA-cache,0,0.041,0.815,0.856,8336.00,6,0.15
Simple Regex - Dot,a.c,1024,DFA,0,0.111,0.105,0.216,17664.00,4,0.11
Simple Regex - Dot,a.c,1024,min-DFA,0,0.133,0.089,0.222,33608.00,4,0.11
Simple Regex - Star,ab*c,1024,NFA,0,0.038,0.501,0.539,10112.00,8,0.19
Simple Regex - Star,ab*c,1024,NFA+DFA-cache,0,0.037,0.789,0.826,10112.00,8,0.19
Simple Regex - Star,ab*c,1024,DFA,0,0.086,0.110,0.196,25112.00,4,0.11
Simple Regex - Star,ab*c,1024,min-DFA,0,0.170,0.085,0.255,39704.00,3,0.09
Complex Regex - Alternation,(cat|dog|bird),1024,Aho-Corasick,2,0.029,0.175,0.203,8272.00,11,0.08
Complex Regex - Alternation,(cat|dog|bird),1024,NFA,2,0.092,1.172,1.264,31056.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),1024,NFA+DFA-cache,2,0.068,2.089,2.157,28912.00,24,0.53
Complex Regex - Alternation,(cat|dog|bird),1024,DFA,2,0.142,0.111,0.253,66232.00,11,0.21
Complex Regex - Alternation,(cat|dog|bird),1024,min-DFA,2,0.316,0.090,0.406,127672.00,9,0.18
Complex Regex - Alternation,(cat|dog|bird),1024,NFA (with prefilter),2,0.183,0.230,0.413,45088.00,35,0.61
